"id","n_grid","n_exps","dose_A","dose_B","beta_A","beta_B","gamma_A","gamma_B","tau_1","tau_2","power","power_high","power_low"
1,3,1,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,10,NA,10
1,4,1,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,30,NA,20
1,5,1,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,0,NA,0
1,6,1,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,60,NA,60
1,10,1,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,20,NA,20
1,3,2,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,10,NA,10
1,4,2,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,20,NA,20
1,5,2,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,20,NA,20
1,6,2,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,40,NA,40
1,10,2,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,60,NA,60
1,3,3,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,20,NA,20
1,4,3,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,30,NA,30
1,5,3,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,40,NA,40
1,6,3,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,50,NA,50
1,10,3,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,70,NA,70
1,3,4,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,20,NA,20
1,4,4,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,40,NA,40
1,5,4,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,30,NA,30
1,6,4,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,40,NA,40
1,10,4,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,80,NA,80
1,3,5,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,20,NA,20
1,4,5,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,40,NA,40
1,5,5,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,40,NA,40
1,6,5,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,80,NA,80
1,10,5,"RH5","AMA1RON2",0.25,0.15,0.53,0.92,-0.06,0.1,90,NA,90
2,3,1,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,30,20,NA
2,4,1,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,40,40,NA
2,5,1,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,60,60,NA
2,6,1,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,60,60,NA
2,10,1,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,100,100,NA
2,3,2,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,20,20,NA
2,4,2,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,80,80,NA
2,5,2,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,100,100,NA
2,6,2,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,100,100,NA
2,10,2,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,100,100,NA
2,3,3,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,50,50,NA
2,4,3,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,100,100,NA
2,5,3,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,100,100,NA
2,6,3,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,100,100,NA
2,10,3,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,100,100,NA
2,3,4,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,60,60,NA
2,4,4,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,80,80,NA
2,5,4,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,100,100,NA
2,6,4,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,100,100,NA
2,10,4,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,100,100,NA
2,3,5,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,50,50,NA
2,4,5,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,100,100,NA
2,5,5,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,100,100,NA
2,6,5,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,100,100,NA
2,10,5,"CyRPA","RIPR",0.25,0.22,0.74,0.81,0.25,-0.13,100,100,NA
3,3,1,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,4,1,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,5,1,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,6,1,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,10,1,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,3,2,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,4,2,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,5,2,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,6,2,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,10,2,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,3,3,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,4,3,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,5,3,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,6,3,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,10,3,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,3,4,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,4,4,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,5,4,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,6,4,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,10,4,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,3,5,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,4,5,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,5,5,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,6,5,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
3,10,5,"RH5","RH4",0.37,8.54,0.51,0.63,17.39,-0.14,100,100,NA
